gene_symbol	s_het	s_het_lower95	s_het_upper95	NFE_s_het	NFE_s_het_lower95	NFE_s_het_upper95	rank	quintile	decile	U	N	NFE_N	n	NFE_n
SCAMP3	0.0100752562	0.006	0.017	0.00961	0	0	10406	4	7	1.15E-06	114698.5714	66412.6667	14	8
CENPH	0.0100740725	0.006	0.018	0.00957	0	0	10407	4	7	1.18E-06	103232.7773	65350.5714	13	6
OLFML3	0.0100736872	0.006	0.018	0.00953	0	0	10408	4	7	9.95E-07	112299.3477	65754.2857	12	6
FZD6	0.0100713494	0.007	0.016	0.00973	0	0	10409	4	7	1.56E-06	114397.119	65638.8571	19	12
GTF3C6	0.0100710102	0.005	0.023	0.00899	0	0	10410	4	7	5.21E-07	101526.4293	66728	6	2
NOXRED1	0.0100699393	0.006	0.02	0.00925	0	0	10411	4	7	6.25E-07	116837.963	61770	8	7
TREM1	0.0100696905	0.005	0.021	0.00914	0	0	10412	4	7	5.38E-07	117015.6574	66338.3333	7	4
ZCCHC7	0.0100679936	0.007	0.016	0.00974	0	0	10413	4	7	1.61E-06	117058.9204	66352.6667	20	8
ZNF446	0.0100660726	0.006	0.018	0.00952	0	0	10414	4	7	1.08E-06	103379.5755	56884	12	3
FGD2	0.0100648382	0.007	0.016	0.00972	0	0	10415	4	7	1.65E-06	108084.1505	52061.25	19	7
CGNL1	0.0100644248	0.008	0.014	0.00989	0	0	10416	4	7	3.16E-06	113761.5825	63647.9259	37	13
RP11-724O16.1	0.0100565332	0.007	0.017	0.00967	0	0	10417	4	7	1.37E-06	118114.0086	66492.25	17	14
DHRSX	0.0100508928	0.006	0.02	0.00933	0	0	10418	4	7	7.41E-07	109756.7463	66664.8	9	5
POC5	0.010049414	0.006	0.018	0.00955	0	0	10419	4	7	1.33E-06	91357.405	45992.5714	13	8
PCNT	0.0100490982	0.0082	0.01231	0.00998	0	0	10420	4	7	8.30E-06	111045.0253	62725.1884	93	46
TESK2	0.0100488345	0.007	0.016	0.00974	0	0	10421	4	7	1.70E-06	116552.4146	64819.6364	21	11
LYRM7	0.0100473993	0.004	0.03	0.00794	0	0	10422	4	7	2.85E-07	79497.53982	66560.6667	3	1
SLC35D1	0.0100470644	0.006	0.018	0.0095	0	0	10423	4	7	9.91E-07	112442.478	61372.8571	12	4
CKM	0.0100454233	0.005	0.02	0.00923	0	0	10424	4	7	6.36E-07	114527.3587	55187.6	8	5
HSD17B7	0.0100441429	0.006	0.02	0.00932	0	0	10425	4	7	7.41E-07	109678.8963	63765.6667	9	2
GPR149	0.0100422496	0.006	0.018	0.00954	0	0	10426	4	7	1.04E-06	116745.6485	65598.6667	13	9
C1QTNF3	0.0100394682	0.006	0.019	0.00939	0	0	10427	4	7	7.72E-07	118223.3252	64924.8571	10	6
PSME2	0.0100392612	0.006	0.019	0.00939	0	0	10428	4	7	7.67E-07	118991.4363	66723	10	5
SLC38A11	0.0100359859	0.006	0.019	0.00938	0	0	10429	4	7	8.28E-07	110187.3989	66185.75	10	2
FOXRED2	0.0100331647	0.007	0.017	0.00965	0	0	10430	4	7	1.37E-06	117831.821	66596	17	16
ATP1B4	0.0100292889	0.006	0.018	0.00944	0	0	10431	4	7	1.18E-06	85761.03659	47624	11	5
MARS	0.0100280871	0.008	0.015	0.00984	0	0	10432	4	7	2.81E-06	116752.7773	66646.5	34	13
OR10Q1	0.0100200581	0.004	0.026	0.00842	0	0	10433	4	7	2.70E-07	120695.8803	66540	4	4
TRIM32	0.0100165299	0.006	0.019	0.00937	0	0	10434	4	7	7.53E-07	120915.6011	66598.6667	10	9
CTAG2	0.0100156854	0.004	0.03	0.00792	0	0	10435	4	7	2.91E-07	77583.0963	45886.3333	3	0
TMEM74B	0.010011587	0.005	0.021	0.00908	0	0	10436	4	7	5.38E-07	116311.6075	65976.5	7	5
CRYBB1	0.0100069257	0.006	0.018	0.00942	0	0	10437	4	7	8.38E-07	120479.9552	66515.4286	11	3
BAK1	0.0100062196	0.005	0.02	0.00919	0	0	10438	4	7	6.72E-07	107953.3402	66609	8	2
CD34	0.0100039833	0.006	0.018	0.00941	0	0	10439	4	7	9.68E-07	104267.7423	65435	11	8
BANF2	0.0099960692	0.004	0.026	0.0084	0	0	10440	4	7	3.05E-07	106568.4906	47310	4	0
CLEC14A	0.009994738	0.006	0.02	0.00928	0	1	10441	4	7	7.72E-07	104727.7704	65295	9	0
SLC22A15	0.009992328	0.007	0.017	0.00959	0	0	10442	4	7	1.37E-06	110045.6851	60562.2	16	12
GGCX	0.0099914939	0.007	0.015	0.00976	0	0	10443	4	7	2.30E-06	116043.6442	66664.7778	28	16
HOXB7	0.0099898397	0.005	0.022	0.00891	0	0	10444	4	7	5.58E-07	93991.4618799999	45201	6	3
TMEM199	0.0099896196	0.005	0.021	0.00906	0	0	10445	4	7	5.67E-07	110110.1239	66272	7	5
WDR46	0.0099883492	0.007	0.015	0.00976	0	0	10446	4	7	2.30E-06	116006.0035	63763.0769	28	19
GATAD1	0.0099836995	0.005	0.022	0.00891	0	0	10447	4	7	4.62E-07	113448.7974	66718	6	6
POMT2	0.0099809092	0.007	0.015	0.00971	0	0	10448	4	7	2.28E-06	99423.82147	60453.2727	24	11
NEUROG3	0.009980781	0.005	0.021	0.00906	0	0	10449	4	7	6.33E-07	98538.42236	53329.6	7	2
DESI1	0.0099797182	0.005	0.021	0.00906	0	0	10450	4	7	5.96E-07	104644.1163	52406	7	7
ARL10	0.0099764399	0.006	0.019	0.00933	0	0	10451	4	7	8.48E-07	106918.3609	65165.4286	10	6
B3GAT3	0.0099732084	0.006	0.019	0.00933	0	0	10452	4	7	8.49E-07	106756.095	61592	10	6
IMPG2	0.0099724934	0.008	0.015	0.00977	0	0	10453	4	7	2.61E-06	117343.5104	65281.5556	32	21
TNNT1	0.0099718487	0.006	0.019	0.00932	0	0	10454	4	7	9.21E-07	98396.24891	61597.3333	10	7
MCM10	0.009968924	0.007	0.015	0.00975	0	0	10455	4	7	2.45E-06	116823.0624	65545	30	12
SEPT14	0.0099688775	0.006	0.018	0.00943	0	0	10456	4	7	1.15E-06	96111.18065	58607.5	12	5
LNP1	0.0099667642	0.005	0.021	0.00904	0	1	10457	4	7	5.42E-07	114914.1088	66204	7	0
DHX16	0.0099590371	0.008	0.014	0.00982	0	0	10458	4	7	4.06E-06	109671.7558	59391.7	46	32
SMOC1	0.0099563481	0.006	0.017	0.00952	0	0	10459	4	7	1.22E-06	114957.3957	66459.4286	15	8
SCN11A	0.00995596	0.008	0.014	0.00983	0	0	10460	4	7	4.31E-06	114827.5418	66054.3636	51	21
AGBL2	0.0099514627	0.007	0.015	0.00974	0	0	10461	4	7	2.65E-06	111566.8548	66228.6667	31	22
RBL1	0.0099505434	0.008	0.014	0.00977	0	0	10462	4	7	3.13E-06	110343.8063	63112.6667	36	25
ATM	0.0099484249	0.00818	0.0121	0.00989	0	0	10463	4	7	8.46E-06	116075.3369	64691.9385	100	58
PPFIBP1	0.0099451175	0.008	0.014	0.00977	0	0	10464	4	7	3.15E-06	112739.1535	65398.8571	37	19
COX7A1	0.0099445145	0.004	0.026	0.00836	0	0	10465	4	7	4.06E-07	79610.34286	21279.5	4	1
SPATA22	0.0099407885	0.006	0.017	0.00951	0	0	10466	4	7	1.28E-06	109391.9789	47273.1429	15	12
KRTCAP3	0.0099393562	0.005	0.024	0.00866	0	0	10467	4	7	4.14E-07	102014.9433	65752.5	5	1
ALG10	0.0099346012	0.006	0.019	0.00929	0	0	10468	4	7	7.54E-07	119718.0488	66732.8	10	5
SEMA5B	0.0099338863	0.008	0.014	0.00974	0	0	10469	4	7	3.21E-06	98125.55372	54824.1429	33	16
SPINT2	0.0099316054	0.006	0.019	0.00922	0	0	10470	4	7	7.61E-07	105532.6044	66737.5	9	8
NDUFB5	0.0099304808	0.005	0.021	0.00901	0	0	10471	4	7	5.60E-07	110798.0721	66440.4	7	1
CKAP2	0.0099265909	0.007	0.016	0.00955	0	0	10472	4	7	1.38E-06	115700.3887	64915.6667	17	11
AHCTF1	0.0099265493	0.008	0.013	.	.	.	10473	4	7	5.76E-06	113236.9258	31480	67	47
LDB3	0.0099211713	0.007	0.016	0.00958	0	0	10474	4	7	1.56E-06	112613.2185	65162.6667	19	9
PTGER2	0.0099191906	0.006	0.019	0.0092	0	0	10475	4	7	7.09E-07	115384.9106	64959	9	8
MYH6	0.0099179619	0.008	0.013	0.0098	0	0	10476	4	7	4.40E-06	118804.639	66645.0857	54	24
RNASEL	0.0099151943	0.007	0.017	0.00951	0	0	10477	4	7	1.27E-06	117766.6806	63865.7143	16	6
KLRC2	0.0099125129	0.005	0.021	0.00899	0	0	10478	4	7	6.00E-07	103216.3187	64481.2	7	2
GPR162	0.0099096549	0.006	0.018	0.00937	0	0	10479	4	7	1.03E-06	106644.8297	64175.6	12	10
KPNA5	0.0099095101	0.007	0.016	0.00957	0	0	10480	4	7	1.56E-06	112474.7023	66147.1111	19	13
CIAO1	0.0099041272	0.006	0.018	0.00932	0	0	10481	4	7	8.78E-07	113756.5087	66463.6	11	10
SGCE	0.0098914273	0.007	0.016	0.00953	0	0	10482	4	7	1.51E-06	109426.8329	65054.6667	18	17
SNX20	0.0098907018	0.005	0.021	0.00898	0	0	10483	4	7	6.06E-07	101959.7518	60367.6667	7	5
SELENBP1	0.0098868511	0.007	0.017	0.00948	0	0	10484	4	7	1.34E-06	111285.9283	60676	16	5
SLX4IP	0.0098808551	0.006	0.018	0.00935	0	0	10485	4	7	9.29E-07	117881.2764	65868	12	6
ZSCAN5A	0.0098739897	0.006	0.018	0.00934	0	0	10486	4	7	9.51E-07	115070.9271	66471	12	1
CA3	0.0098730736	0.006	0.018	0.00929	0	0	10487	4	7	8.60E-07	115756.7105	65916	11	6
MRPL18	0.0098705159	0.006	0.019	0.00916	0	0	10488	4	7	6.91E-07	117790.5797	65929.3333	9	6
GDAP2	0.0098691541	0.007	0.015	0.00958	0	0	10489	4	7	1.71E-06	119484.8063	66442.9091	22	16
CD274	0.0098688669	0.005	0.02	0.00907	0	0	10490	4	7	6.01E-07	118988.3045	66458.8	8	5
TC2N	0.0098660188	0.007	0.016	0.00951	0	0	10491	4	7	1.45E-06	113647.6538	65282.8571	18	10
PCDHA6	0.0098616727	0.007	0.017	0.00946	0	0	10492	4	7	1.31E-06	113535.7219	66190.5	16	7
KLHDC8A	0.009860782	0.006	0.018	0.00933	0	0	10493	4	7	9.53E-07	114669.4459	65599.1429	12	7
IL31RA	0.009859143	0.007	0.015	0.0096	0	0	10494	4	7	2.00E-06	116840.0174	66650.6667	25	12
ELTD1	0.0098590934	0.007	0.017	0.00946	0	0	10495	4	7	1.36E-06	109332.1376	63981.4545	16	6
SLC15A4	0.0098563748	0.006	0.017	0.00943	0	0	10496	4	7	1.26E-06	110154.0324	61359.6364	15	11
NUAK2	0.0098549402	0.007	0.017	0.00945	0	0	10497	4	7	1.33E-06	111749.7402	59245.25	16	7
GPR156	0.0098520071	0.007	0.016	0.0095	0	0	10498	4	7	1.40E-06	120202.8118	66106	18	9
SIL1	0.009838403	0.006	0.018	0.00926	0	0	10499	4	7	9.43E-07	105180.4802	66230.4	11	9
ZNF645	0.0098359416	0.006	0.019	0.0092	0	0	10500	4	7	1.03E-06	86723.98765	47931.6667	10	8
IL12RB2	0.0098317214	0.007	0.015	0.0096	0	0	10501	4	7	2.10E-06	120319.2229	66668.2857	27	17
NLRP5	0.0098292487	0.007	0.014	0.00962	0	0	10502	4	7	2.60E-06	112277.3165	61372	31	20
COX18	0.0098288836	0.006	0.019	0.00912	0	0	10503	4	7	8.38E-07	94788.18462	44738	9	5
C15orf38	0.0098265886	0.005	0.021	0.00892	0	0	10504	4	7	5.35E-07	114709.6726	66600.5714	7	5
PVALB	0.0098226649	0.004	0.029	0.00777	0	0	10505	4	7	1.94E-07	113861.4186	64673	3	2
TIMM10B	0.0098157965	0.005	0.021	0.00891	0	0	10506	4	7	5.38E-07	113939.2663	51546.5	7	6
TXNL4B	0.0098117938	0.004	0.026	0.00825	0	0	10507	4	7	2.90E-07	109842.5729	66401.3333	4	3
RIC3	0.0098094972	0.006	0.019	0.00917	0	0	10508	4	7	8.24E-07	108098.6701	66145.6	10	2
MTRF1L	0.009805587	0.006	0.019	0.0091	0	0	10509	4	7	7.79E-07	101711.7112	65315.75	9	6
COA1	0.0098034276	0.005	0.024	0.00854	0	0	10510	4	7	3.68E-07	113097.1304	66690.6667	5	2
AKR1B1	0.0097994393	0.006	0.019	0.00909	0	0	10511	4	7	7.51E-07	105433.9412	59058.5	9	5
LDHB	0.0097981428	0.005	0.02	0.009	0	0	10512	4	7	5.94E-07	119495.374	66680	8	4
HAGH	0.0097961998	0.006	0.019	0.00916	0	0	10513	4	7	8.02E-07	110905.7189	65701.1429	10	4
TMEM192	0.0097919195	0.006	0.017	0.0093	0	0	10514	4	7	1.05E-06	112643.2047	64558	13	5
TNP2	0.0097899437	0.004	0.029	0.00774	0	0	10515	4	7	1.90E-07	115823.5342	66102	3	3
ACO1	0.0097876766	0.007	0.014	0.0096	0	0	10516	4	7	2.72E-06	114054.0116	65988.7368	33	20
RFC5	0.0097868696	0.006	0.017	0.0093	0	0	10517	4	7	1.07E-06	110478.5254	65400.3333	13	9
ZNF71	0.0097824479	0.006	0.017	0.00933	0	0	10518	4	7	1.08E-06	118460.8	65580.2222	14	4
GSTCD	0.0097807559	0.007	0.016	0.00945	0	0	10519	4	7	1.53E-06	113120.7241	62460.1667	19	9
SRFBP1	0.0097764288	0.006	0.017	0.00935	0	0	10520	4	7	1.22E-06	112812.6495	65360	15	3
RIN3	0.0097730145	0.007	0.016	0.00942	0	0	10521	4	7	1.52E-06	107341.2649	65062.8889	18	10
CRIPT	0.0097712974	0.004	0.026	0.00821	0	0	10522	4	7	2.94E-07	107863	64810	4	4
SLC23A3	0.0097648268	0.007	0.016	0.00945	0	0	10523	4	7	1.67E-06	109307.7522	66176.75	20	8
CLIC5	0.0097632257	0.005	0.02	0.00897	0	0	10524	4	7	7.27E-07	97273.37195	47077.6667	8	6
CERK	0.0097596132	0.007	0.016	0.00943	0	0	10525	4	7	1.54E-06	112131.7766	66176.4444	19	13
AKR1A1	0.0097548468	0.006	0.018	0.00918	0	0	10526	4	7	8.40E-07	117028.7756	66698	11	6
MICU3	0.0097533577	0.007	0.016	0.00942	0	0	10527	4	7	1.66E-06	103956.0375	59412.1667	19	13
SIGLEC10	0.0097510401	0.007	0.015	0.00949	0	0	10528	4	7	1.88E-06	117700.8183	64286.7692	24	17
AK9	0.0097466841	0.008	0.014	0.0096	0	0	10529	4	7	4.65E-06	89485.131	61852.0909	44	21
SLC22A6	0.0097451809	0.006	0.017	0.00932	0	0	10530	4	7	1.30E-06	105520.7722	54554.5	15	1
DIRC2	0.0097440431	0.006	0.017	0.00926	0	0	10531	4	7	1.05E-06	112071.2776	63639.2	13	2
HIST4H4	0.0097398116	0.004	0.026	0.00819	0	0	10532	4	7	2.69E-07	117475.2239	66224	4	2
AGL	0.0097364743	0.008	0.013	0.00963	0	0	10533	4	7	4.67E-06	118195.1343	66170.3125	58	40
TSPAN33	0.0097357023	0.006	0.018	0.00916	0	0	10534	4	7	8.62E-07	113807.7895	63146.2857	11	6
SCGB2A2	0.0097338253	0.004	0.029	0.00769	0	0	10535	4	7	1.89E-07	115686.4567	66664.6667	3	2
BRCC3	0.0097328957	0.005	0.021	0.00884	0	0	10536	4	7	1.18E-06	50131.9078	29726.3333	7	4
XPC	0.0097313431	0.007	0.015	0.00949	0	0	10537	4	7	2.31E-06	104015.7002	63882	26	14
LGR5	0.009731214	0.007	0.015	0.00947	0	0	10538	4	7	1.85E-06	119357.3196	66591.5	24	17
NECAP2	0.0097265484	0.006	0.018	0.0091	0	0	10539	4	7	8.37E-07	105473.8431	63743.5	10	4
ZXDC	0.0097252142	0.006	0.016	0.00933	0	0	10540	4	7	1.48E-06	96534.79581	66721.75	16	7
GIPC3	0.0097212396	0.005	0.021	0.00882	0	0	10541	4	7	5.79E-07	104806.4828	60672	7	4
PEAR1	0.0097211466	0.007	0.014	0.00954	0	0	10542	4	7	2.99E-06	109533.3723	63711.76	35	20
PDSS1	0.0097171365	0.007	0.016	0.0094	0	0	10543	4	7	1.64E-06	110739.3709	66677.6	20	14
FFAR4	0.0097159064	0.006	0.018	0.00909	0	0	10544	4	7	8.24E-07	107014.6085	55687.2	10	3
CCM2L	0.0097152622	0.006	0.017	0.00923	0	0	10545	4	7	1.19E-06	98583.05921	66332.2857	13	2
A4GALT	0.0097130065	0.004	0.023	0.00846	0	1	10546	4	7	4.22E-07	97656.47319	64241	5	0
NCR1	0.0097110846	0.006	0.017	0.00929	0	0	10547	4	7	1.14E-06	119895.7515	66588.2222	15	6
YBEY	0.0097095982	0.005	0.022	0.00866	0	0	10548	4	7	4.71E-07	108068.9942	66448.5	6	5
TSLP	0.009708472	0.005	0.022	0.00866	0	0	10549	4	7	4.37E-07	116462.8842	66640	6	4
CRB1	0.0097038902	0.007	0.014	0.0095	0	0	10550	4	7	2.48E-06	116166.9072	66465.5556	31	22
PIWIL4	0.0097031496	0.007	0.015	0.00946	0	0	10551	4	7	2.11E-06	113533.8912	66149.3333	26	3
TRAF5	0.0097014182	0.007	0.016	0.00933	0	0	10552	4	7	1.32E-06	118137.5766	64323.2727	17	4
IL24	0.00970047	0.005	0.021	0.0088	0	0	10553	4	7	5.23E-07	115769.7293	66525.2	7	1
GTF2A2	0.0096976577	0.004	0.026	0.00815	0	0	10554	4	7	2.62E-07	120047.254	66091	4	3
SAA4	0.0096963563	0.004	0.026	0.00815	0	1	10555	4	7	2.62E-07	120029.7612	66646	4	0
ARHGEF25	0.0096933967	0.007	0.015	0.00941	0	0	10556	4	7	1.81E-06	110792.8288	66111.0769	22	6
ERCC3	0.0096928324	0.007	0.014	0.00949	0	0	10557	4	7	2.52E-06	114189.0259	65336	31	11
TDP2	0.0096864526	0.006	0.016	0.00929	0	0	10558	4	7	1.28E-06	114069.0876	66354.2222	16	12
KNG1	0.0096833189	0.007	0.015	0.0094	0	0	10559	4	7	1.68E-06	119236.9349	66255.3333	22	11
USP53	0.0096816289	0.007	0.014	0.00949	0	0	10560	4	7	2.65E-06	115765.0112	64687.5	33	10
ARMC6	0.0096762929	0.006	0.016	0.00926	0	0	10561	4	7	1.29E-06	105562.1725	64738.6	15	11
ARMC2	0.0096759808	0.007	0.015	0.00938	0	0	10562	4	7	1.77E-06	107618.3178	63091.2	21	14
SMIM21	0.0096751967	0.004	0.023	0.00843	0	0	10563	4	7	3.48E-07	117931.4146	66526.5	5	1
MEA1	0.0096718749	0.005	0.022	0.00863	0	1	10564	4	7	4.49E-07	112900.4483	66734.6667	6	0
SCGB2A1	0.0096714258	0.004	0.029	0.00765	0	0	10565	4	7	1.83E-07	118618.3333	66313	3	2
GINS4	0.0096700837	0.006	0.018	0.00904	0	0	10566	4	7	7.43E-07	118092.4651	66569.5	10	7
STK36	0.0096684083	0.008	0.014	0.00951	0	0	10567	4	7	3.21E-06	116518.7876	66185.8889	40	20
SYTL1	0.0096668869	0.006	0.016	0.0093	0	0	10568	4	7	1.71E-06	88673.66316	47525.5385	17	10
TFPT	0.0096659595	0.006	0.019	0.00897	0	0	10569	4	7	7.29E-07	109260.5288	64867	9	3
ERCC5	0.0096655162	0.007	0.014	0.00947	0	0	10570	4	7	2.55E-06	116308.9315	66297.0909	32	10
FAM209B	0.0096653426	0.005	0.022	0.00862	0	0	10571	4	7	4.27E-07	118632.9032	65806	6	2
WSCD1	0.0096629319	0.007	0.015	0.00935	0	0	10572	4	7	1.64E-06	110093.8889	65910.7273	20	10
VAMP7	0.0096560742	0.005	0.02	0.00887	0	0	10573	4	7	6.47E-07	108055.9163	66237.2	8	4
HEMK1	0.0096522991	0.006	0.017	0.0092	0	0	10574	4	7	1.09E-06	115756.9674	65092.8889	14	3
TIGD2	0.0096480937	0.006	0.017	0.00917	0	0	10575	4	7	9.71E-07	119949.9048	66579.1111	13	10
MBD4	0.0096479511	0.007	0.016	0.0093	0	0	10576	4	7	1.41E-06	116811.6077	61001.5556	18	8
AGXT	0.0096461345	0.006	0.018	0.00908	0	0	10577	4	7	1.02E-06	95252.89152	56115.3333	11	8
TIMMDC1	0.0096440838	0.006	0.017	0.00916	0	0	10578	4	7	1.01E-06	115268.3784	64416.6	13	5
MASP1	0.0096436044	0.007	0.015	0.00933	0	0	10579	4	7	1.66E-06	108540.0734	66592.1818	20	11
PHPT1	0.0096427601	0.004	0.023	0.0084	0	0	10580	4	7	3.70E-07	110523.0332	65380	5	1
GPRC5C	0.0096411517	0.005	0.019	0.00894	0	1	10581	4	7	7.30E-07	108821.4017	64872.5	9	0
GPI	0.0096405948	0.007	0.016	0.00931	0	0	10582	4	7	1.56E-06	109280.4905	64568.5	19	6
NDRG1	0.0096383739	0.006	0.016	0.00925	0	0	10583	4	7	1.38E-06	105261.7321	60922.75	16	9
ZNF506	0.0096374955	0.005	0.019	0.00894	0	0	10584	4	7	6.83E-07	116264.2473	66382.8889	9	2
DHX34	0.0096272824	0.007	0.014	0.00943	0	0	10585	4	7	2.71E-06	105444.7142	64560.2667	31	9
RNASE13	0.0096266865	0.004	0.025	0.00809	0	0	10586	4	7	2.75E-07	113463.4483	66736.6667	4	2
TBC1D5	0.0096211261	0.007	0.014	0.00941	0	0	10587	4	7	2.46E-06	108262.3202	63281.4444	29	23
HOXA6	0.0096138205	0.005	0.02	0.00872	0	0	10588	4	7	5.01E-07	119726.0667	66596.5714	7	3
MMD2	0.0096070953	0.005	0.019	0.00892	0	0	10589	4	7	8.08E-07	95962.0815	52508.3333	9	4
C1orf27	0.0096065464	0.006	0.017	0.00909	0	0	10590	4	7	1.29E-06	82438.17192	55803.6364	12	10
HIVEP3	0.0096049098	0.008	0.013	0.00947	0	0	10591	4	7	3.80E-06	110405.1187	65011.6364	45	24
SUSD1	0.0096014627	0.007	0.015	0.00934	0	0	10592	4	7	1.87E-06	116448.1805	66471.2857	24	17
FGFR1OP2	0.0095982457	0.006	0.017	0.00912	0	0	10593	4	7	9.92E-07	116780.3784	62032.5	13	5
HABP4	0.0095972182	0.006	0.017	0.00912	0	0	10594	4	7	1.05E-06	110317.3784	66316	13	2
MRPL4	0.0095969678	0.006	0.017	0.00908	0	0	10595	4	7	9.61E-07	110545.9705	59599.1111	12	7
COG5	0.0095933426	0.007	0.014	0.00939	0	0	10596	4	7	2.49E-06	110492.3104	64257.2381	30	13
CDKN2AIPNL	0.0095900605	0.004	0.029	0.00758	0	0	10597	4	7	2.33E-07	92281.9245299999	63003	3	3
C12orf29	0.009589965	0.005	0.02	0.00881	0	0	10598	4	7	7.24E-07	95877.32143	52143.1429	8	7
QPCTL	0.0095898851	0.006	0.018	0.00897	0	0	10599	4	7	7.83E-07	111082.124	60628.8571	10	4
GFRAL	0.0095890369	0.006	0.018	0.00902	0	0	10600	4	7	8.33E-07	115913.5108	66187.75	11	6
TMEM139	0.0095835866	0.004	0.023	0.00835	0	0	10601	4	7	3.41E-07	119138.0347	66508.5	5	3
ARHGEF10	0.0095824197	0.008	0.013	0.00944	0	0	10602	4	7	3.42E-06	113973.9679	65015.5	42	19
CEL	0.0095796645	0.006	0.017	0.00913	0	0	10603	4	7	1.23E-06	101781.6726	65474.4444	14	7
SLC12A7	0.0095795028	0.007	0.014	0.00937	0	0	10604	4	7	2.64E-06	104059.5387	62403.7273	30	17
ZC2HC1C	0.0095791512	0.006	0.017	0.0091	0	0	10605	4	7	9.93E-07	116421.5946	66641.1111	13	5
ARL13B	0.0095768841	0.006	0.017	0.00913	0	0	10606	4	7	1.35E-06	92706.52239	61392.7273	14	6
PCDHGC5	0.0095678248	0.007	0.016	0.00922	0	0	10607	4	7	1.40E-06	116642.0223	65105	18	10
ABCC8	0.0095667483	0.008	0.013	0.00944	0	0	10608	4	7	4.14E-06	110170.7536	63235.6774	49	27
BEST4	0.0095642453	0.006	0.017	0.00912	0	0	10609	4	7	1.19E-06	105027.4367	65923	14	6
GPR3	0.009562365	0.005	0.021	0.00853	0	0	10610	4	7	4.18E-07	119827.5892	66712	6	1
ZNF212	0.0095595697	0.006	0.017	0.00904	0	0	10611	4	7	9.48E-07	111606.543	65830.4	12	7
TUBD1	0.0095554987	0.006	0.017	0.00911	0	0	10612	4	7	1.08E-06	115615.0028	66209.75	14	7
PYGL	0.009551625	0.007	0.014	0.00935	0	0	10613	4	7	2.35E-06	116550.6325	66687.6	30	15
KLHDC7B	0.0095483328	0.005	0.019	0.00878	0	0	10614	4	7	8.57E-07	78752.27304	38291.6667	8	5
ZNF354B	0.0095472178	0.007	0.016	0.0092	0	0	10615	4	7	1.37E-06	118932.378	66517.7778	18	9
KCTD14	0.0095426758	0.004	0.023	0.00832	0	0	10616	4	7	3.52E-07	114889.6731	65009.3333	5	2
GLB1L	0.009540653	0.007	0.015	0.00928	0	0	10617	4	7	1.80E-06	120181.8393	66313.4737	24	15
HPSE2	0.0095404461	0.006	0.016	0.00918	0	0	10618	4	7	1.35E-06	113539.888	65294.5	17	10
SAMM50	0.0095389247	0.007	0.016	0.00919	0	0	10619	4	7	1.42E-06	114642.1745	65422.8889	18	6
ZNF699	0.009529138	0.006	0.016	0.00912	0	0	10620	4	7	1.13E-06	118615.2903	66561.3333	15	11
ISLR	0.0095264979	0.005	0.021	0.0085	0	0	10621	4	7	4.27E-07	116838.3893	65359.6	6	3
PRAMEF1	0.009521985	0.005	0.019	0.00883	0	0	10622	4	7	6.55E-07	119732.2564	66622.6667	9	4
BIRC7	0.0095211035	0.005	0.02	0.00864	0	0	10623	4	7	6.15E-07	96550.27068	57149.6	7	1
NUP43	0.009509524	0.006	0.016	0.0091	0	0	10624	4	7	1.20E-06	111458.3824	66442	15	10
STX8	0.0095030112	0.006	0.017	0.00899	0	0	10625	4	7	9.94E-07	105784.8863	58567	12	8
MPDU1	0.009501893	0.005	0.019	0.00873	0	0	10626	4	7	6.22E-07	110535.5035	66626.6667	8	7
SGSH	0.0095011715	0.006	0.018	0.00894	0	0	10627	4	7	1.04E-06	91951.5333299999	58308	11	5
LRRC48	0.0094988356	0.006	0.016	0.00911	0	0	10628	4	7	1.43E-06	100064.7098	59927.6667	16	11
NANS	0.0094935184	0.005	0.019	0.00881	0	0	10629	4	7	6.89E-07	113471.9441	66035.4286	9	5
C16orf93	0.0094894753	0.006	0.018	0.00893	0	0	10630	4	7	9.19E-07	103924.1408	65931.5	11	7
HEXIM2	0.0094843846	0.005	0.019	0.0088	0	0	10631	4	7	7.62E-07	100379.1616	42289	9	5
HYPK	0.0094820597	0.004	0.025	0.00797	0	0	10632	4	7	3.04E-07	100964.3574	66728.6667	4	4
OR52E2	0.0094815339	0.005	0.021	0.00846	0	0	10633	4	7	4.22E-07	117634.7212	65236.5	6	1
POLR3A	0.0094803944	0.008	0.013	0.00935	0	0	10634	4	7	3.57E-06	118620.5402	65279.3333	46	33
TM6SF1	0.0094791698	0.006	0.017	0.00901	0	0	10635	4	7	1.01E-06	113220.457	61805	13	11
KCNE1	0.0094771963	0.003	0.028	0.00749	0	0	10636	4	7	1.76E-07	120549.4746	66200	3	1
THEM4	0.0094744068	0.005	0.02	0.0086	0	0	10637	4	7	5.49E-07	107603	66627.3333	7	5
WDR89	0.0094710636	0.006	0.017	0.00896	0	0	10638	4	7	8.88E-07	117997.1053	66300.3333	12	3
RAB27A	0.0094677946	0.005	0.019	0.0087	0	0	10639	4	7	5.81E-07	117894.5714	66562	8	3
NAGS	0.0094654631	0.006	0.018	0.00885	0	0	10640	4	7	1.08E-06	79435.09598	42467.5556	10	7
CBS	0.009461857	0.006	0.016	0.00905	0	0	10641	4	7	1.33E-06	100042.7897	47935.7143	15	10
